id,sku,name,key,value,confidence,evidence
phase3c-26908.099.001-application_method-88,26908.099.001,MENZERNA İnce Kesim Ara Kat Pasta Süngeri 2li Paket (Sarı) - 95mm,application_method,machine,high,machine signal
phase3c-26909.099.001-application_method-90,26909.099.001,MENZERNA Hare Hologram Giderici Cila Süngeri 2li Paket (Yeşil) - 95mm,application_method,machine,high,machine signal
phase3c-26913.099.001-application_method-92,26913.099.001,"MENZERNA Premium Kuzu Yünü Polisaj Keçesi 90 mm/3,5&quot;",application_method,machine,high,machine signal
phase3c-26915.099.001-application_method-94,26915.099.001,"MENZERNA Premium Orbital Kuzu Yünü Polisaj Keçesi 165mm/6,5&quot;",application_method,machine,high,machine signal
phase3c-26931.099.001-application_method-96,26931.099.001,MENZERNA Polisaj Dayanıklı Tabanlığı (Kırmızı) - 123mm,application_method,machine,high,machine signal
phase3c-26934.099.001-application_method-98,26934.099.001,MENZERNA Rotary Polisaj Makineleri Matkap için Dayanıklı Ped Destek Disk Tabanlık - 75mm,application_method,machine,high,machine signal
phase3c-26935.099.001-application_method-100,26935.099.001,MENZERNA Rotary Polisaj Makineleri için Esnek ve Dayanıklı Ped Destek Disk Tabanlık - 148mm,application_method,machine,high,machine signal
phase3c-336807-skill_level-101,336807,FLEX Polisaj Makinesi Yedek Kömür Takımı L48 (2 Adet),skill_level,pro,high,profesyonel/usta
phase3c-336807-application_method-103,336807,FLEX Polisaj Makinesi Yedek Kömür Takımı L48 (2 Adet),application_method,machine,high,machine signal
phase3c-399647-skill_level-104,399647,FLEX Polisaj Makinesi Yedek Kömür Takımı K96 (2 Adet),skill_level,pro,high,profesyonel/usta
phase3c-399647-application_method-106,399647,FLEX Polisaj Makinesi Yedek Kömür Takımı K96 (2 Adet),application_method,machine,high,machine signal
phase3c-405418-application_method-110,405418,FLEX VC 21 L MC Islak Kuru Sanayi Tipi Elektrikli Süpürge 1000W 20 Litre - Toz Emici Hava Üfleyici,application_method,machine,high,machine signal
phase3c-417882-skill_level-111,417882,"FLEX 10.8/18V Akü Uyumlu, LED Göstergeli Şarj Cihazı (230V - 9A)",skill_level,pro,high,profesyonel/usta
phase3c-417882-application_method-113,417882,"FLEX 10.8/18V Akü Uyumlu, LED Göstergeli Şarj Cihazı (230V - 9A)",application_method,machine,high,machine signal
phase3c-418072-durability_months-114,418072,FLEX XCE 10-8 125 Pozitif Sürüş Random Orbital Polisaj Makinesi 1010W (Gear Driven Dual Action),durability_months,24,high,2 yıl garanti
phase3c-418072-skill_level-115,418072,FLEX XCE 10-8 125 Pozitif Sürüş Random Orbital Polisaj Makinesi 1010W (Gear Driven Dual Action),skill_level,pro,high,profesyonel/usta
phase3c-418072-application_method-117,418072,FLEX XCE 10-8 125 Pozitif Sürüş Random Orbital Polisaj Makinesi 1010W (Gear Driven Dual Action),application_method,machine,high,machine signal
phase3c-418080-skill_level-118,418080,FLEX XFE 7-15 150 Orbital Çift Tabanlı Polisaj Makinesi Seti,skill_level,pro,high,profesyonel/usta
phase3c-418080-application_method-120,418080,FLEX XFE 7-15 150 Orbital Çift Tabanlı Polisaj Makinesi Seti,application_method,machine,high,machine signal
phase3c-418102-application_method-123,418102,FLEX PXE 80 10.8-EC Set Rotary/Orbital Akülü Nano Polisaj Makinesi Seti,application_method,machine,high,machine signal
phase3c-445894-skill_level-124,445894,FLEX AP 18.0V 5.0AH Lithium Power Li-ion Korumalı Yedek Akü (Kutulu),skill_level,pro,high,profesyonel/usta
phase3c-445894-application_method-126,445894,FLEX AP 18.0V 5.0AH Lithium Power Li-ion Korumalı Yedek Akü (Kutulu),application_method,machine,high,machine signal
phase3c-447129-skill_level-127,447129,FLEX XFE 7-12 80 Orbital Polisaj Makinesi,skill_level,pro,high,profesyonel/usta
phase3c-447129-application_method-129,447129,FLEX XFE 7-12 80 Orbital Polisaj Makinesi,application_method,machine,high,machine signal
phase3c-458813-skill_level-130,458813,FLEX EXS M14 Set Rotary Polisaj Makinesi Uzatma Aparatı Seti 4 Parça,skill_level,pro,high,profesyonel/usta
phase3c-458813-application_method-132,458813,FLEX EXS M14 Set Rotary Polisaj Makinesi Uzatma Aparatı Seti 4 Parça,application_method,machine,high,machine signal
phase3c-463302-application_method-135,463302,FLEX SF 150-P LED Detailing El Cep Feneri 140 Lümen - Kalem Tipi Kontrol Işık,application_method,machine,high,machine signal
phase3c-481491-skill_level-137,481491,FLEX VC 6 L MC 18.0V Şarjlı Kablosuz El Süpürgesi 6 Litre - 4 Başlıklı Taşınabilir Toz Emici,skill_level,pro,high,profesyonel/usta
phase3c-481491-application_method-139,481491,FLEX VC 6 L MC 18.0V Şarjlı Kablosuz El Süpürgesi 6 Litre - 4 Başlıklı Taşınabilir Toz Emici,application_method,machine,high,machine signal
