source,id,sku,key,after,original_group,original_sub_type,final_group,final_sub_type,reason
phase3c,phase3c-SGGD135-application_method-392,SGGD135,application_method,machine,sprayers_bottles,foaming_pump_sprayer,sprayers_bottles,foaming_pump_sprayer,application_method: not applicable for sprayers_bottles/foaming_pump_sprayer
phase3c,phase3c-SGGD166-application_method-393,SGGD166,application_method,machine,spare_part,backing_plate,spare_part,backing_plate,application_method: not applicable for spare_part/backing_plate
phase3c,phase3c-SGGD175-skill_level-394,SGGD175,skill_level,pro,storage_accessories,bag_carrier,storage_accessories,bag_carrier,skill_level: not applicable for storage_accessories/bag_carrier
phase3c,phase3c-SGGD175-application_method-396,SGGD175,application_method,machine,storage_accessories,bag_carrier,storage_accessories,bag_carrier,application_method: not applicable for storage_accessories/bag_carrier
phase3c,phase3c-SGGD233-application_method-399,SGGD233,application_method,machine,storage_accessories,work_gear,storage_accessories,work_gear,application_method: not applicable for storage_accessories/work_gear
phase3c,phase3c-SGGD285-skill_level-400,SGGD285,skill_level,pro,storage_accessories,holder_clamp,storage_accessories,holder_clamp,skill_level: not applicable for storage_accessories/holder_clamp
phase3c,phase3c-SGGD285-application_method-402,SGGD285,application_method,machine,storage_accessories,holder_clamp,storage_accessories,holder_clamp,application_method: not applicable for storage_accessories/holder_clamp
phase3c,phase3c-SGGD289-skill_level-403,SGGD289,skill_level,pro,storage_accessories,holder_clamp,storage_accessories,holder_clamp,skill_level: not applicable for storage_accessories/holder_clamp
phase3c,phase3c-SGGD289-application_method-404,SGGD289,application_method,machine,storage_accessories,holder_clamp,storage_accessories,holder_clamp,application_method: not applicable for storage_accessories/holder_clamp
phase3c,phase3c-SGGD402-skill_level-406,SGGD402,skill_level,pro,storage_accessories,water_spray_gun,accessory,water_spray_gun,skill_level: not applicable for accessory/water_spray_gun
phase3c,phase3c-SGGD402-application_method-408,SGGD402,application_method,machine,storage_accessories,water_spray_gun,accessory,water_spray_gun,application_method: not applicable for accessory/water_spray_gun
