sku,key,value_text,value_numeric,value_boolean
EP3539,scent,Yaban Mersini,,
EP3539,design,3D Yavru Köpek,,
EP3539,durability_days,,45,
EP3539,dimensions_mm,85x45x26,,
EP3539,weight_g,,13,
EP3539,alcohol_free,,,true
EP3539,toxic_free,,,true
EP3539,made_in,İtalya,,
EP3539,collection,Little Pup,,
78156,design,Bean (Fasulye),,
78156,scent,British,,
78156,made_in,İtalya,,
78156,collection,Bean,,
76385,design,Bean,,
76385,scent,Casual,,
76385,made_in,İtalya,,
76385,collection,Bean,,
76386,design,Bean,,
76386,scent,Glamour,,
76386,made_in,İtalya,,
76386,collection,Bean,,
78157,design,Bean,,
78157,scent,Rockabilly,,
78157,made_in,İtalya,,
78157,collection,Bean,,
76384,design,Bean,,
76384,scent,Sporty,,
76384,color,Açık Mavi,,
76384,made_in,İtalya,,
76384,collection,Bean,,
78158,design,Bean,,
78158,scent,Summerlover,,
78158,made_in,İtalya,,
78158,collection,Bean,,
75229,design,Kelebek,,
75229,scent,Blue Ice,,
75229,made_in,İtalya,,
75229,collection,Marta La Farfalla,,
78761,design,Kelebek,,
78761,scent,Tarçın,,
78761,made_in,İtalya,,
78761,collection,Marta La Farfalla,,
75228,design,Kelebek,,
75228,scent,Silver Water,,
75228,made_in,İtalya,,
75228,collection,Marta La Farfalla,,
PS0101,scent,Vanilya,,
PS0101,durability_label,30 Gün,,
PS0101,material,Kağıt/Selüloz,,
PS0101,durability_days,,30,
PS0101,dimensions_mm,80x187x3,,
PS0101,weight_g,,11,
PS0101,alcohol_free,,,true
PS0101,toxic_free,,,true
PS0101,made_in,İtalya,,
PS0101,collection,Paper (Asma Kart),,
PS2002,scent,New Car,,
PS2002,durability_label,30 Gün,,
PS2002,durability_days,,30,
PS2002,dimensions_mm,80x187x3,,
PS2002,weight_g,,11,
PS2002,material,Kağıt/Selüloz,,
PS2002,alcohol_free,,,true
PS2002,toxic_free,,,true
PS2002,made_in,İtalya,,
PS2002,collection,Paper (Asma Kart),,
PS0313,scent,Çiçek,,
PS0313,durability_label,30 Gün,,
PS0313,durability_days,,30,
PS0313,dimensions_mm,80x187x3,,
PS0313,weight_g,,11,
PS0313,material,Kağıt/Selüloz,,
PS0313,alcohol_free,,,true
PS0313,toxic_free,,,true
PS0313,made_in,İtalya,,
PS0313,collection,Paper (Asma Kart),,
PS0404,scent,Kiraz,,
PS0404,durability_label,30 Gün,,
PS0404,durability_days,,30,
